,28-09-2019,26-09-2020,25-09-2021,24-09-2022,30-09-2023
CashAndCashEquivalentsAtCarryingValue,48844000000,38016000000,34940000000,23646000000,29965000000
MarketableSecuritiesCurrent,51713000000,52927000000,27699000000,24658000000,31590000000
AccountsReceivableNetCurrent,22926000000,16120000000,26278000000,28184000000,29508000000
InventoryNet,4106000000,4061000000,6580000000,4946000000,31477000000
NontradeReceivablesCurrent,22878000000,21325000000,25228000000,32748000000,6331000000
OtherAssetsCurrent,12352000000,11264000000,14111000000,21223000000,14695000000
AssetsCurrent,1.62819E+11,1.43713E+11,1.34836E+11,1.35405E+11,1.43566E+11
MarketableSecuritiesNoncurrent,1.05341E+11,1.00887E+11,1.27877E+11,1.20805E+11,1.00544E+11
PropertyPlantAndEquipmentNet,37378000000,36766000000,39440000000,42117000000,43715000000
OtherAssetsNoncurrent,32978000000,42522000000,48849000000,54428000000,64758000000
AssetsNoncurrent,1.75697E+11,1.80175E+11,2.16166E+11,2.1735E+11,2.09017E+11
Assets,3.38516E+11,3.23888E+11,3.51002E+11,3.52755E+11,3.52583E+11
AccountsPayableCurrent,46236000000,42296000000,54763000000,64115000000,62611000000
OtherLiabilitiesCurrent,37720000000,42684000000,47493000000,60845000000,58829000000
ContractWithCustomerLiabilityCurrent,5522000000,6643000000,7612000000,7912000000,8061000000
CommercialPaper,6000000000,5000000000,6000000000,9982000000,5985000000
LongTermDebtCurrent,10260000000,8773000000,9613000000,11128000000,9822000000
LiabilitiesCurrent,1.05718E+11,1.05392E+11,1.25481E+11,1.53982E+11,1.45308E+11
LongTermDebtNoncurrent,91807000000,98667000000,1.09106E+11,98959000000,95281000000
OtherLiabilitiesNoncurrent,50503000000,54490000000,53325000000,49142000000,49848000000
LiabilitiesNoncurrent,1.4231E+11,1.53157E+11,1.62431E+11,1.48101E+11,1.45129E+11
Liabilities,2.48028E+11,2.58549E+11,2.87912E+11,3.02083E+11,2.90437E+11
CommonStocksIncludingAdditionalPaidInCapital,45174000000,50779000000,57365000000,64849000000,73812000000
RetainedEarningsAccumulatedDeficit,45898000000,14966000000,5562000000,-3068000000,-214000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-584000000,-406000000,163000000,-11109000000,-11452000000
StockholdersEquity,90488000000,65339000000,63090000000,50672000000,62146000000
LiabilitiesAndStockholdersEquity,3.38516E+11,3.23888E+11,3.51002E+11,3.52755E+11,3.52583E+11
Netincomeloss,55256000000,57411000000,94680000000,99803000000,96995000000
ROE,61.06445053,87.86635853,150.0713267,196.9588728,156.0760145
